case_id,amp,pw,Ea_mean,Ea_sigma,P0,Vth0,idmin0,idmax0,valid0,dV1,dV100,gradual,dP1,dP100,valid_ratio,is_small_all,is_fast_sat,is_good_prog,elapsed_s
A1p80_PW2p00e-01us_Em0p90_Es0p50,1.8,2e-07,0.9,0.5,-0.125000000000006,0.736089602692929,9.51028068281694e-24,3.36414533209621e-06,1,-0.040339227186403,-0.040339227186403,0,0.125000000000006,0.125000000000006,1,1,0,0,55.7920168
A1p80_PW2p00e-01us_Em0p90_Es0p60,1.8,2e-07,0.9,0.6,-0.0950000000000045,0.726487502767795,1.75678959213731e-23,3.40105047748306e-06,1,-0.0307371272612694,-0.0307371272612694,0,0.0950000000000042,0.0950000000000045,1,1,0,0,58.0357592
A1p80_PW2p00e-01us_Em0p90_Es0p70,1.8,2e-07,0.9,0.7,-0.0550000000000027,0.713584918245198,1.49916908011051e-23,3.45029668618681e-06,1,-0.0178345427386724,-0.0193885407435237,0.00155399800485134,0.0550000000000027,0.0600000000000029,1,1,0,0,58.05697
A1p80_PW2p00e-01us_Em0p95_Es0p20,1.8,2e-07,0.95,0.2,0.315000000000014,0.594118155496395,1.85342832993105e-22,3.90778274121679e-06,1,-0.0745532705326752,-0.0760584488600387,0.00150517832736341,0.230000000000011,0.235000000000011,1,0,1,0,25.8444619
A1p80_PW2p00e-01us_Em0p95_Es0p30,1.8,2e-07,0.95,0.3,0.0800000000000034,0.670045603535869,1.6393665091844e-23,3.61682145726489e-06,1,-0.0534336072743972,-0.0177721902298335,0.0356614170445637,0.165000000000008,0.0550000000000026,1,1,0,0,22.5185448
A1p80_PW2p00e-01us_Em0p95_Es0p40,1.8,2e-07,0.95,0.4,-0.0650000000000029,0.716688628281761,1.91548416152047e-23,3.43798096866603e-06,1,-0.0194039402659114,-0.0129053992561301,0.00649854100978131,0.0600000000000028,0.0400000000000018,1,1,0,0,24.8399016
A1p80_PW2p00e-01us_Em0p95_Es0p50,1.8,2e-07,0.95,0.5,-0.140000000000006,0.740728359121953,1.70617238924908e-23,3.3457024088559e-06,1,-0.0449779836154276,-0.0449779836154272,4.44089209850063e-16,0.140000000000006,0.140000000000006,1,1,0,0,43.3192481
A1p80_PW2p00e-01us_Em0p95_Es0p60,1.8,2e-07,0.95,0.6,-0.180000000000008,0.753930218649596,2.2637639987548e-24,3.29655327873955e-06,1,-0.0581798431430709,-0.0581798431430709,0,0.180000000000008,0.180000000000008,1,0,1,0,51.6999445
A1p80_PW2p00e-01us_Em0p95_Es0p70,1.8,2e-07,0.95,0.7,-0.0950000000000039,0.726487502767794,1.62457206846058e-23,3.40105047748306e-06,1,-0.0307371272612684,-0.0307371272612684,0,0.0950000000000039,0.0950000000000038,1,1,0,0,60.3748394
A1p80_PW2p00e-01us_Em1p00_Es0p20,1.8,2e-07,1,0.2,0.320000000000014,0.592543169847337,1.85270786450788e-22,3.9139873526768e-06,1,-0.0678973035539556,-0.10007927926564,0.0321819757116848,0.21000000000001,0.310000000000014,1,0,0,1,25.2969044
A1p80_PW2p00e-01us_Em1p00_Es0p30,1.8,2e-07,1,0.3,0.125000000000006,0.655410195488918,1.66797842861209e-23,3.67243442312524e-06,1,-0.0612920399925222,-0.0467138828011088,0.0145781571914134,0.190000000000008,0.145000000000006,1,1,0,0,22.42882
A1p80_PW2p00e-01us_Em1p00_Es0p40,1.8,2e-07,1,0.4,-0.0800000000000037,0.721403582593357,1.71124409566524e-23,3.41951258342871e-06,1,-0.030375426176325,-0.0210575872497738,0.00931783892655125,0.0950000000000043,0.065000000000003,1,1,0,0,28.6304247
A1p80_PW2p00e-01us_Em1p00_Es0p50,1.8,2e-07,1,0.5,-0.150000000000007,0.744156032991392,3.13878661512586e-23,3.33341074062754e-06,1,-0.0484056574848665,-0.0484056574848665,0,0.150000000000007,0.150000000000007,1,1,0,0,48.413212
A1p80_PW2p00e-01us_Em1p00_Es0p60,1.8,2e-07,1,0.6,-0.210000000000009,0.763494438881711,3.13694873804329e-23,3.25972251220983e-06,1,-0.0677440633751853,-0.0677440633751853,0,0.210000000000009,0.210000000000009,1,0,1,0,48.7309004
A1p80_PW2p00e-01us_Em1p00_Es0p70,1.8,2e-07,1,0.7,-0.200000000000009,0.760049805375835,3.12826095500984e-23,3.27199643757827e-06,1,-0.0642994298693094,-0.0642994298693094,0,0.200000000000009,0.200000000000009,1,0,1,0,52.9619527
A1p80_PW5p00e-01us_Em0p75_Es0p20,1.8,5e-07,0.75,0.2,0.195000000000009,0.632891396828927,3.16960727289504e-23,3.75904265545786e-06,1,0.0355267836014093,0.128891615984055,0.0933648323826459,-0.110000000000005,-0.400000000000018,1,0,0,1,37.1367696
